CarParkID,CarParkName,CarParkRegNo,OperatorID,Description,CarParkType,ParkingGuideType,ParkingTypes,ParkingSiteTypes,ChargeTypes,Telephone,EmergencyPhone,PositionLat,PositionLon,Email,Address,WebURL,SpecialOfferDescription,IsFreeParkingOutOfHours,VehicleRestriction,IsPublic,OperationType,LiveOccuppancyAvailable,EVRechargingAvailable,MonthlyTicketAvailable,SeasonTicketAvailable,ReservationAvailable,WheelchairAccessible,OvernightPermitted,TicketMachine,Toilet,Restaurant,Gas,Station,Shop,Gated,Lighting,SecureParking,TicketOffice,ProhibitedForAnyHazardousMaterialLoads,SecurityGuard,Supervision,LandMark,BuildingName,City,CityCode,FareDescription
A00046,國盛四街停車場,花縣停車場109登字第022號,HUA83279070,平面小型車11位,1,1,[254],[20],[3],(03)824667,0915-725588,23.9943,121.60778,yahu66@hl.gov.tw,花蓮市國盛四街49,None,None,1,None,1,1,0,0,0,0,0,0,1,0,0,0,None,None,0,0,1,0,0,0,0,0,None,None,HualienCounty,HUA,汽車月租2500元/月、季繳2200元/月、年繳2000元/月。
A00025,彪吉利停車場(國聯五路站),花縣停車場109登字第003號,HUA47041994,平面停車面,1,1,[2],[9; 7; 6],[1; 2; 3],0919534881,0919534881,23.99224,121.60533,blueloveteresa@gmail.com,花蓮市國聯五路126號(旁邊),None,殘障優惠：半價,0,None,0,3,0,0,1,1,0,0,1,1,0,0,None,None,0,1,1,0,1,0,0,1,None,None,HualienCounty,HUA,汽車:一小時$30。平日一日$240；假日(及連續假日)一日$400。
A00038,花蓮民德一停車場,None,HUA70369154,平面式小型車38格（含1身障及1婦幼）,1,1,[2; 2; 4; 4],[20; 20; 4; 4],[1; 1; 3; 3],(02)27888750,0800-021-111,23.9837,121.62132,development@youparking.com.tw,花蓮縣花蓮市民德四街5號對面停車場,None,None,0,None,0,3,0,0,1,0,0,1,1,0,0,0,None,None,0,0,0,0,0,0,0,1,None,None,HualienCounty,HUA,臨停：40/時、月租：2,000/月。限用悠遊卡進出
A00042,臺灣基督教門諾會醫療財團法人門諾醫院收費停車場,花縣停車場109登字第014號,HUA16738841,小型車235位,3,1,[2],[254],[1],(03)8241688,None,23.98826,121.62717,yahu66@hl.gov.tw,花蓮市民權路44號,None,None,0,None,1,1,1,0,0,0,0,1,1,1,1,1,None,None,1,1,1,0,1,0,1,0,None,None,HualienCounty,HUA,停車未滿30分鐘免費，超過30分鐘以1小時20元計費，滿1小時起採每30分鐘以10元累加計收。單日單次停車費最高計收100元（跨日重新累加計費）。
A00031, 東芥東大門停車場,花縣停車場109登字第017號,HUA85056975,平面式161個停車位,1,1,[4],[10; 21],[1; 3],(03)8527733,None,23.97289,121.6097,f0937977187@hotmail.com,花蓮縣花蓮市重慶路480號,None,None,0,None,1,1,1,0,0,0,0,1,1,0,0,0,None,None,0,0,1,0,0,0,0,1,None,None,HualienCounty,HUA,平日40元/時、假日60元/時
A00014,永發停車三民站,花縣停車場110登字第003號,HUA12994664,平面式小型車125格(含身障停車格3格、婦幼停車格3格),1,1,[2; 5; 4],[5; 4; 7; 8; 11; 19; 20; 22; 21],[1],(03)8570557,0986830557,23.97842,121.61013,abc835901@yahoo.com.tw,花蓮縣花蓮市三民街1-1號,,None,0,只允許小型車進入,0,3,0,0,1,0,0,0,1,0,0,0,None,None,0,1,1,0,0,0,1,1,None,None,HualienCounty,HUA,平日50元/時，假日80元/時
A00054,盛昌停車場,None,HUA94504503,平面式小型車20格,1,1,[4],[20],[3],0911-563-854,None,23.99696,121.60731,lisaloosen@gamil.com,花蓮縣花蓮市裕民段555地號,None,None,0,None,0,3,0,0,1,0,0,0,1,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,月租1200元
A00023,彪吉利停車場(國盛站),花縣停車場109登字第001號,HUA47041994,平面停車面,1,254,[2],[254],[3],0919534881,0919534881,23.99136,121.60583,blueloveteresa@gmail.com,花蓮市國民7街51號(對面),None,,0,月租$1500,0,3,0,0,1,0,0,0,1,0,0,0,None,None,0,1,0,0,0,0,0,0,None,None,HualienCounty,HUA,月租$1500
A00034,停好停滿停車場中華國小站,花縣停車場110登字第004號,HUA83381764,平面式小型車41格(含婦幼及身障車位各1格),1,1,None,None,[1; 3],(03)8311793,0988098129,23.99363,121.60684,lc83381764@gmail.com,國民八街與國盛三街口,None,None,0,限停小型車,0,3,0,0,1,1,0,0,1,1,0,0,None,None,0,1,1,1,0,0,1,1,中華國小北門對面,None,HualienCounty,HUA,臨停部分：30元/時，一天最高上限平日100元/天，假日180元/天；月租部分：2500元/月繳，6900元/季繳，24000元/年繳。
A00003,丞捷停車場 ,花縣停車場110登字第009號,HUA53478410,小型車20格,1,1,[4],[254],[3],(03)8565649,None,23.98822,121.59288,traffic517@gmail.com,花蓮縣吉安鄉北昌村自強路563號1樓,None,None,0,None,0,3,0,0,1,0,0,0,0,0,0,0,None,None,0,0,1,0,0,0,0,0,None,None,HualienCounty,HUA,月租1500元
A00002,永發停車場-東洋站,花縣停車場107登字第002號,HUA80118614,小行車格223格  ( 含身心障礙車格5格;婦幼車格2格),1,1,[1],[1; 4],[1],0986820557,None,23.98016,121.60807,abc835901@yahoo.com.tw,民國路76號,None,身心障礙優惠,0,,1,1,0,0,1,0,0,0,1,1,0,0,None,None,0,1,1,1,0,0,0,1,None,None,HualienCounty,HUA,20元/時 
A00036,統冠重慶店停車場,花縣停車場110登字第005號,HUA84248322,平面小型車49格,1,1,[4],[4; 8; 21; 16; 22; 254],[1; 4],(03)8569389,0913833302,23.97333,121.61024,jan@tkmart.com.tw,花蓮縣花蓮市重慶路415號,None,消費99元折抵1個小時、消費199元折抵2個小時,0,只允許小型車停靠,0,3,0,0,0,0,0,0,0,1,0,0,None,None,1,1,1,0,0,0,1,1,東大門夜市,統冠超市,HualienCounty,HUA,10元/半小時(0-24)、前10分鐘免費
A00010,花蓮市忠孝立體停車場,花縣停車場110登字第011號,HUA80118614,平面車位10格 ; 車塔80格,4,3,[254],[4],[1; 3],0986828557,None,23.97393,121.60624,abc835901@yahoo.com.tw,忠孝街57號,None,None,0,限高150公分以上不可停靠,1,1,0,0,1,0,0,0,1,0,0,0,None,None,0,0,1,1,0,0,1,1,None,None,HualienCounty,HUA,20元/時 ; 月租1000元
A00009,遠東百貨股份有限公司花蓮和平分公司,花縣停車場110登字第015號,HUA28984733,汽車358格機車558格,3,1,[7],[16],[1],(03)8355588,,23.97838,121.59973,gen43@feds.com.tw,花蓮縣花蓮市和平路581號,https://www.feds.com.tw/store/52/MallInfo?tab=parking,憑遠東百貨及愛買當日發票可免費停3小時,憑快樂購聯合集點卡免費1小時,0,None,0,3,0,1,0,0,0,1,0,0,1,1,None,None,1,1,1,0,0,0,1,1,None,None,HualienCounty,HUA,計時每小時30元(限營業時間內09:00~23:00)
A00007,花蓮航空站計時收費停車場,花縣停車場110登字第010號,HUA97100722,小型車347格,3,1,[254],[2],[1],0939-625625,None,24.07139,121.61768,tensha.ten@msa.hinet.net,花蓮縣新城鄉機場巷1號,None,None,0,None,1,1,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,(1) 汽車30分鐘10元，平日最高160；未滿30分鐘以30分鐘計；逾30分以一小時計。 (2) 每日最高160元(未滿一日以一日計），當日零點至當日晚上12點前為1日。
A00022,佛教慈濟醫療財團法人花蓮慈濟醫院停車場,花縣停車場108登字第012號,HUA80118614,平面車格322格 (含身心障礙15格 ; 婦幼車格6格),3,1,[2],[15; 254],[1; 3],0986830557,None,23.99525,121.59302,abc835901@yahoo.com.tw,中央路三段707號,None,None,0,只允許自小客車停放,0,3,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,20元/時
A00032,建程自由街停車場,花縣停車場110登字第017號,HUA42958475,小型車格93格身心婦幼格4格,1,1,[254],[254],[1],0953311039,0953311039,23.97357,121.60855,zz680520@gmail.com,花蓮縣花蓮市自由街6號,None,None,0,限停小型車輛,1,1,1,0,1,0,0,1,1,1,0,0,None,None,0,1,1,1,0,0,0,1,None,None,HualienCounty,HUA,20元(小時)  10元(30分鐘)  平日最高120元  假日最高180元
A00043,中山明智停車場,花縣停車場109登字第015號,HUA85051937,平面式：汽車53格,1,1,[4],[20; 254],[1; 3],(03)8246672,0968113318,23.9847,121.60348,yahu66@hl.com.tw,花蓮市中山路與明智街口,None,None,0,None,1,1,1,0,1,0,0,0,1,1,0,0,None,None,0,1,1,0,0,0,0,0,None,None,HualienCounty,HUA,當日零點至當日晚上12點前為1日。 一、汽車：每1小時20元；30分鐘10元 。二、每日最高收費：120元 。三、月租收費：2500元
A00016,P&P停車場,花縣停車場108登字第004號,HUA82182231,44,1,2,[3],[4; 5; 6; 7; 8; 10; 11; 255; 23; 21; 16; 20],[1],038333916,0223110211,23.97546,121.60965,alenf10888@gmail.com,福町路成功街口,None,None,0,只允許小型車,1,1,0,0,0,0,0,1,1,1,1,1,None,None,1,1,1,1,0,0,0,1,None,None,HualienCounty,HUA,平日20元/小時 假日及特殊時段(18:00-24:00)
A00024,彪吉利(花蓮停四)機車停車場,花縣停車場109登字第011號,HUA47041994,平面停車面,1,1,[2],[5; 4; 8],[1; 2; 3],0919534881,0919534881,23.99331,121.60238,blueloveteresa@gmail.com,花蓮縣花蓮市國聯一路100-8號(對面),None,殘障區(免費使用),0,只允許機車,1,1,0,0,1,0,0,1,1,1,0,0,None,None,0,1,1,0,0,0,1,1,None,None,HualienCounty,HUA,1.臨停:$40／天(如有優惠方案則另行公告)。2.月租:$900／月繳(如有優惠方案則另行公告之)。
A00018,彪吉利停場車(國民段469號),花縣停車場108登字第008號,HUA47041994,機車格,1,254,[2],[254],[2; 3],0919534881,0919534881,23.99555,121.60385,blueloveteresa@gmail.com,花蓮縣花蓮市國興一街與35-1號,None,無,0,平面式：機車格,0,3,0,0,1,0,0,0,1,0,0,0,None,None,0,0,1,0,0,0,1,1,曾記麻,彪吉利停場車(國民段469號),HualienCounty,HUA,1.平／假日一小時$25(月租一個月$500)。2.打擋車：平日(星期一至星期四)$25，假日(星期五至星期日)$30。3.大型機車：平日(星期一至星期四)$30假日(星期五至星期日)$35。4.計算天數以每天零時為界，未滿一小時以一小時計，未滿一日以一日計。
A00019,新康停車場,花縣停車場108登字第009號,HUA85207468,小型車16格,1,1,[2],[20],[3],(02)8227171,0911-895859,23.98872,121.59654,yahu66@hl.gov.tw,花蓮縣花蓮市國富二街-國富十街口,None,None,0,None,0,3,0,0,0,0,0,0,1,0,0,0,None,None,0,0,1,1,0,0,1,0,None,None,HualienCounty,HUA,月租2,000元，年繳20,000元。
A00040,花蓮文化創意產業園區停車場,花縣停車場109登字第009號,HUA04153230,大型車6位，小型車52位,1,1,[2; 4; 5; 8],[4; 5; 7; 13],[1; 2],(02)85126580,None,23.97774,121.60442,uukao@moc.gov.tw,花蓮市中華路144號,None,None,0,None,1,2,1,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,計時收費，每30分鐘新臺幣10元，未滿30分鐘者以30分鐘計。大型車每次60元（所稱每次係指每一車輛入場一次而言，每次不得超過4小時，未滿4小時者以4小時計）
A00035,林森停車場,花縣停車場110登字第005號,HUA91150196,平面式小型停車位(一般車位19格+身障車位1格),1,1,[254],[254; 5; 7; 4; 16],[1],(03)8337266,0966-550601,23.97752,121.59939,wsk0601@gmail.com,花蓮縣花蓮市林森路145號旁空地,None,None,0,只允許小型車,0,3,0,0,0,0,0,0,1,1,0,0,None,None,0,1,1,1,0,0,0,1,紐約客牛排對面,None,HualienCounty,HUA,1.平日30元/小時 2.假日40元/小時 3.過年期間50元/小時
A00030,吉安仁里立體停車場,花縣停車場109登字第008號,HUA53297327,小型車217格,2,1,[254],[254],[1; 3],0939008791,None,23.96599,121.59227,traffic517@gmail.com,花蓮縣吉安鄉中正路一段151號,None,None,0,None,1,1,0,0,1,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,汽車：每1小時20元；30分鐘10元；月租3000。
A00001,彪吉利(花蓮停三)汽(紅黃牌重機)車停車場,花縣停車場109登字第010號,HUA47041994,汽車及紅黃牌重機車,1,5,[2],[254],[2; 3],0919534881,0919534881,23.99169,121.60208,blueloveteresa@gmail.com,花蓮縣花蓮市國聯一路138之11號,None,障殘車位：半價,0,臨停:$20／半小時,平日上限$$300天／天,假日上限$500／天(如有優惠則另行公告)月租:$4000／月繳(如有優惠則另行公告),1,1,0,0,1,0,0,0,1,1,0,0,None,None,0,1,1,0,0,0,1,1,花蓮縣花蓮市國聯一路138之11號,旅遊服務中心後,HualienCounty,HUA,臨停:$20／半小時,平日上限$$300天／天,假日上限$500／天(如有優惠則另行公告)月租:$4000／月繳(如有優惠則另行公告)
A00044,停好車停車場,花縣停車場109登字第016號,HUA87344137,平面停車場，小型車37位，機車149位。,1,1,[1; 3],[1; 4],[1],(03)8246672,0932-935245,23.99418,121.60353,yahu66@hl.gov.tw,花蓮縣花蓮市國聯一路18號,None,None,0,None,1,1,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,當日零點至當日晚上12點前為1日。 一、汽車： 30分鐘10元；每1小時20元。 機車：每日20元。 二、汽車每日最高收費：平日120元、假日200元。
A00011,新港街停車場,花縣停車場110登字第014號,HUA89483140,小型車27格,1,1,[254],[254],[1; 3],0937-787770,None,23.97922,121.60639,traffic517@gmail.com,花蓮市新港街75號,None,None,0,None,1,1,0,0,1,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,汽車：前第一小時20元；每一小時20元。 未滿30分鐘加收10元，一天最高收費480元。 月租方式：一個月3000元。
A00012,節約街停車場,花縣停車場110登字第016號,HUA80304384,小型車78格。管理人員不是24小時在場。,1,1,[2],[11; 22; 4; 5; 7],[1; 3],(03)8310734,None,23.9796,121.60991,development@youparking.com.tw,花蓮縣花蓮市三民街38巷10號後面空地停車場,None,None,0,None,0,3,0,0,1,0,0,1,1,1,0,0,None,None,0,0,1,1,1,0,1,1,None,None,HualienCounty,HUA,計時：小型車30元/時、大型車60元/時；月租：小型車2500/月、大型車5000/月
A00039,花蓮民德二停車場,None,HUA70369154,小型車21格（含1身障、1婦幼）,1,1,[2; 4],[20],[1; 3],(02)27888750,0800-021-111,23.98348,121.62176,development@youparking.com.tw,花蓮縣花蓮市民權路31號,None,None,0,None,0,3,0,0,1,0,0,0,1,0,0,0,None,None,0,0,1,0,0,0,0,1,None,None,HualienCounty,HUA,臨停：40/時、月租：2,000/月（限用悠遊卡進出）
A00026,前站停車場,花縣停車場109登字第004號,HUA87970329,平面式,1,5,[2],[254],[2; 3; 1],0933480871,0933480871,23.99338,121.60394,blueloveteresa@gmail.com,花蓮市國聯一路37號(對面),None,障殘：半價優惠,0,汽車;$20／小時($160／天)；假日(及連續假日)一日$200。月租$2400元,0,3,0,0,1,0,0,0,1,1,0,0,None,None,0,0,1,0,0,0,1,1,None,None,HualienCounty,HUA,汽車;$20／小時($160／天)；假日(及連續假日)一日$200。月租$2400元
A00017,台灣國際開發事業有限公司花蓮醫院停車場,花縣停車場108登字第007號,HUA80738683,全年適用,2,1,[4],[4; 8; 254; 22; 11],[1],062087743,None,23.97948,121.61118,yoyoliou@gmail.com,花蓮市中正路600號,None,None,0,限停小型車,0,3,0,0,1,0,0,0,1,0,0,0,None,None,0,1,1,1,0,0,0,1,None,None,HualienCounty,HUA,每小時20元
A00033,花蓮民生停車場,花縣停車場110登字第001號,HUA70369154,平面式小型車25格（含身障1格、婦幼1格）,1,1,None,None,None,(03)8310734,,23.97533,121.60731,development@youparking.com.tw,花蓮市南京街221號旁空地停車場,https://www.youparking.com.tw/parking-detail.php?id=501,None,0,只允許小型車停放,0,3,1,0,1,0,0,1,1,0,0,0,None,None,0,0,1,1,0,0,0,1,花蓮南京街郵局,None,HualienCounty,HUA,計時40元/時；月租2000元/月
A00045,國富二十二街停車場,花縣停車場109登字第021號,HUA83278987,平面式：小型車23位,1,1,[254],[20],[3],(03)83278987,0988-672532,23.9924,121.5947,yahu66@hl.gov.tw,花蓮市國富二十二街10,None,None,0,None,1,1,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,汽車月租2500元/月、季繳2200元/月、年繳2000元/月。
A00005,福廣仁愛停車場,花縣停車場107登字第008號,HUA58019180,平面式小型車133格,1,1,[9; 4; 2],[4; 5; 7; 10; 11; 23; 21; 22],[1; 3],(03)8325161,0912037870,23.97805,121.60221,fu58019180@gmail.com,花蓮縣花蓮市仁愛街91號,None,None,0,只允許小型車停靠,1,1,0,0,0,0,0,0,1,1,0,0,None,None,0,1,1,1,0,0,1,1,None,None,HualienCounty,HUA,10元/30分鐘，當日最高300元。
A00015,WORLD GYM世界健身俱樂部停車場,花縣停車場110登字第013號,HUA27940499,小型車66格,1,1,[254],[6],[1],(03)8335333,(03)833-5333,23.99207,121.6062,repair@worldgymtaiwan.com,花蓮縣花蓮市富國段0326-0001、0327、0328地號,https://www.worldgymtaiwan.com/locations,None,0,None,0,3,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,花蓮縣花蓮市國聯四路71-1號,無,HualienCounty,HUA,會員制:前3H免費，第4H$100/H   非會員:$100/H，單日最高收$500元
A00004,後火車站機車停車場,花縣停車場107登字第007號,HUA80118614,機車停車位340格 (含身障車位8格),1,1,[1],[1; 4; 5],[1],(03)8570557,0986-820557,23.99359,121.5995,abc835901@yahoo.com.tw,花蓮縣花蓮市富裕二街,None,None,0,只允許機車停靠,1,1,0,0,1,0,0,0,1,0,0,0,None,None,0,0,0,1,0,0,1,1,None,None,HualienCounty,HUA,20元/次 (00:00~23:59)
